ACRONYM,DEFINITION
ITIC,Information Technology Implementation Committee (CBER)
ITIM,Information Technology Investment Management
ITIPS,Information Technology Investment Portfolio System
ITIRB,Information Technology Investment Review Board
ITMRA,Information Technology Management Reform Act (now the Clinger-Cohen Act)
ITS (CBER),Information Technology Staff (CBER)
ITT,intent to treat
ITTT (OC),IT Training Team (OC)
IUO,investigation use only
IUPAC,International Union of Pure and Applied Chemistry
IV,intravenous
IV & V,independent verification and validation
IVC,inferior vena cava
IVC,intravenous cholangiogram
IVD,in vitro diagnostics
IVF,in vitro fertilization
IVIG,intravenous immunoglobulin
IVMD,in vitro medical device
IVP,intravenous pyelogram
IVTB (CFSAN),In Vitro Toxicology Branch (CFSAN)
J-ART,Japanese Adverse Reaction Terminology
J/D,judgment for the defendant
JAD,joint application development
JAN,Japanese Adopted Names
JBIG,Joint Bi-level Image Experts Group
JCAHO,Joint Commission on Accreditation of Health Care Organizations
JECFA,Joint (FAO/WHO) Expert Committee on Food Additives
JFHQ,Joint Force Headquarters
JFO,Joint Field Office
JFTR,Joint Federal Travel Regulations
JIC,Joint Information Center
JIFSAN,Joint Institute for Food Safety and Applied Nutrition
JIFSAN (CFSAN),JIFSAN Liaison Staff (CFSAN)
JINAD,Generic Investigational New Animal Drug File
JLCS (OC),Jefferson Laboratory Complex Staff (OC)
JMO,Japanese Maintenance Organization
JMPR,Joint FAO/WHO Meeting of Pesticide Residues
JP,Japanese Pharmacopoeia
JPEG,Joint Photographic Experts Group
JPMA,Japan Pharmaceutical Manufacturers Association
JRIES,Joint Regional Information Exchange System
JTF,Joint Task Force
JTR,Joint Travel Regulations
KAW,Keep Antibiotics Working
kcal,kilocalories
Kg,kilogram
KMT (OC),Knowledge Management Staff (OC)
KOS,knowledge organization system
KPS,Karnofsky Performance Status Scale
KS,Kaposi's Sarcoma
L & D,labor and delivery
LABA,long-acting beta agonist
LACF,low-acid canned foods
LAF,laminar air flow
LAN,local area network
LanguaL,Langua Alimentaria (Language of Foods)
LAR,licensing action recommendation
LARD,licensing action recommendation document
LARM,Licensing Action Recommendation Memorandum
LASA,Linear Analog Self-Assessment Measure
LASER,light amplification by stimulated emission of radiation
LASIK,laser assisted in situ keratomileusis
LATS,License Application Tracking System
LBL,Ernest Orlando Lawrence Berkeley National Laboratory
LBP (CBER),Laboratory of Bacterial Polysaccharides (CBER)
LBPUA (CBER),"Laboratory of Bacterial, Parasitic and Unconventional Agents (CBER)"
LBVB (CBER),Laboratory of Biochemistry and Vascular Biology (CBER)
LCDC,Laboratory Centre for Disease Control (Canada)
LCH (CBER),Laboratory of Cellular Hematology (CBER)
LCI,Livestock Conservation Institute
LCP (CDER),Laboratory of Clinical Pharmacology (CDER)
LCT (CFSAN),Labeling Compliance Team (CFSAN)
LD,lethal dose
LD50,lethal dose where 50% of the animal population die
LDD,Lot Distribution Database
LDPE,low-density polyethylene
LDV (CBER),Laboratory of DNA Viruses (CBER)
LEAA,Law Enforcement Alliance of America
LECC,Law Enforcement Coordination Committee
LERN,Library Electronic Reference Network
LES,leave and earnings statement
LESTD (CBER),Laboratory of Enteric and Sexually Transmitted Diseases (CBER)
LF,low frequency
LF1,low-value food/food-related products less than or equal to $200 (ORA AofC code)
LF2,low-value food/food-related products greater than $200 and less than or equal to $500 (ORA AofC codes)
LF3,low-value food/food-related products greater than $500 and less than or equal to $1000 (ORA AofC code)
LH (CBER),Laboratory of Hemostasis (CBER)
LHREA (CBER),Laboratory of Hepatitis and Related Emerging Agents (CBER)
LHV (CBER),Laboratory of Hepatitis Viruses (CBER)
LI,learned intermediary
LIB (CBER),Laboratory of Immunobiochemistry (CBER)
LIMS,Laboratory Information Management System
LIR (CBER),Laboratory of Immunoregulation (CBER)
Lm,Listeria monocytogenes
LMD (CBER),Laboratory of Method Development (CBER)
LMDCI (CBER),Laboratory of Mycobacterial Diseases and Cellular Immunology (CBER)
LMDQC (CBER),Laboratory of Methods Development and Quality Control (CBER)
LMO,living modified organism
LMS,Laboratory Management System
LMV (CBER),Laboratory of Molecular Virology (CBER)
LNC,Labeling and Nomenclature Committee (CDER)
LNE,Laboratoire National de Metrologie et d'Essias (National Laboratory of Metrology and Essays)
LOA,letter of agreement
LOAEL,Lowest Observed Adverse Effect Level
LOB (ORA),Laboratory Operations Branch (ORA)
LOC,level of concern
LOCF,last observation carried forward
LOD,limit of detection
LOEL,Lowest Observed Effect Level
LOI,Letter of Intent
LOINC,Logical Observation Identifier Name Codes (Regenstrief Institute)
LOQ,limit of quantification
LOV,list of values (EASE)
LPB (OC),Leasing and Policy Branch (OC)
LPD (CBER),Laboratory of Plasma Derivatives (CBER)
LPET (CFSAN),Laboratory Proficiency and Evaluation Team (CFSAN)
LPRVD (CBER),Laboratory of Pediatric and Respiratory Viral Diseases (CBER)
LPT (CFSAN),Liaison and Policy Team (CFSAN)
LR (CBER),Laboratory of Retroviruses (CBER)
LR1,low-value non-Rx radiation-emitting products less than or equal to $200 (ORA AofC code)
LR2,low-value non-Rx radiation-emitting products greater than $200 and less than or equal to $1000 (ORA AofC code)
LRA,local registration authority
LRB (CDER),Labeling Review Branch (CDER)
LRC,Lipid Research Clinic
LRI,lower respiratory infection
LRIS,Lot Release Imaging System
LRIT (CFSAN),Labeling Regulations Implementation Team (CFSAN)
LRN,Laboratory Response Network (CDC)
LRP,low regulatory priority
LRPDB (CDRH),Labeling Research and Policy Development Branch (CDRH)
LRS,Lot Release System
LRSP (CBER),Laboratory of Respiratory and Special Pathogens (CBER)
LS,Labelling Standard (Canada)
LS (CDRH),Library Staff (CDRH)
LS/LS,life supporting/life sustaining
LSD,Lysergic acid diethylamide
LSHLC,lipid soluble heat labile chemicals
LSHSC,lipid soluable heat stable chemical
LST,device listing number (ORA AofC code)
LTE,less than effective
LUACRG,Lung and Upper Aerodigestive Cancer Research Group
LVBD (CBER),Laboratory of Vector-Borne Diseases (CBER)
LVCH,local voucher
LVP,Large-Volume Parenteral – an injection product having a solution volume which exceeds 100 mL
LWC,electrode lead wire or patient cable (ORA AofC code)
LWOP,leave without pay
M&IE,miscellaneous and incidental expenses
M2,ICH M2 Expert Working Group (EWG) [electronic standards for transmission of regulatory information]
M204,Model 204 Database Management System (Computer Corporation of America)
M4,ICH M4 Expert Working Group (EWG) [focusing on Common Technical Documents for sections of the NDA]
MA,Marketing Authorisation
MAA,Marketing Authorisation Application
mAb,monoclonal antibody
MAB (CDER),Management Analysis Branch (CDER)
MAB (CFSAN),Methods Application Branch (CFSAN)
MAC,Mental Adjustment to Cancer Scale
MACE,major adverse cardiac event(s)
MACMIS,"Marketing, Advertising and Communication Management Information System"
MACS (CBER),Manufacturers Assistance and Communications Staff (CBER)
MAD,multiple ascending dose
MAH,Marketing Authorisation Holder (EC)
MAPCB (CDER),Manufacturing Assessment & Pre-Approval Compliance Branch (CDER)
MAPP,Manual of Policy and Procedures
MARCS,Mission Accomplishment and Regulatory Compliance Services System (ORA)
MARS,Mobile Automated Regulatory Services (ORA)
MAS cell,manipulated autologous structural cell
MAT,modular antigen transporter
MATS,Management Assignment Tracking System
MATTB (CBER),Manufacturers Assistance and Technical Training Branch (CBER)
MAUDE,Manufacturer and User Facility Device Experience Database (CDRH)
MAV,maximum allowable variation
MB (CFSAN),Microanalytical Evaluations Branch (CFSAN)
MBC,minimum bactericidal concentration
MCA,Medicines Control Agency (part of MHRA)
mCAFT,Modified Canadian Aerobic Fitness Test
MCM,medical countermeasure
MCMi,Medical Countermeasures initiative
MCO,managed care organization
MDA,Medical Device Amendments of 1976
MDA,Medical Devices Agency (UK)
MDB,Medical Devices Bureau (Canada)
MDB (CFSAN),Methods Development Branch (CFSAN)
MDD,maximum daily dose
MDD,Medical Devices Directives (EU)
MDDRP,Medical Device Dispute Resolution Panel
MDI,metered dose inhaler
MDII,Medical Device Innovation Initiative
MDL,model number (ORA AofC code)
MDMA,Medical Device Manufacturers Association
MDP,Medical Devices Program (Canada)
MDR,medical device reporting
MDR TB,multi-drug resistant tuberculosis
MDSAP,Medical Device Single Audit Program
MDUFA,Medical Device User Fee Amendments of 2007
MDUFMA,Medical Device User Fee and Modernization Act of 2002
MDUFSA,Medical Device User Fee Stabilization Act of 2005
MDV,medical device vigilance
MedDRA,Medical Dictionary for Regulatory Activities
MEDEC,Medical Devices Canada
MEDLARS,Medical Literature Analysis and Retrieval System (NLM)
MedPAC,Medicare Payment Advisory Commission
MEDSA,The Medicine Equity and Drug Safety Act of 2000
MedSuN,Medical Product Safety Network (CDRH)
MEDWATCH,FDA Safety Information and Adverse Event Reporting Program
MEFA,Association of the Danish Pharmaceutical Industry
MEG,magnetoencephalography
MEMO,Medicines Evaluation and Monitoring Organization
MEO,most efficient organization
MERCOSUR,Southern Common Market (South America)
MERP,Medication Error Reporting and Prevention
MERS-CoV,Middle East Respiratory Syndrome coronavirus
MERS-TM,Medical Event Reporting System - Transfusion Medicine
MeSH,Medical Subject Headings
MF,master file
MFA,medicated feed application number (ORA AofC code)
MFC,Model Food Code
mfr,manufacturer
MFRPS,Manufactured Food Regulatory Program Standards
MGB (CFSAN),Molecular Genetics Branch (CFSAN)
MGSS,multi-generation support system
MHPF,Minority Health Professionals Foundation
MHRA,Medicines and Healthcare products Regulatory Agency (UK)
MHSB (CFSAN),Microbial Hazards Science Branch (CFSAN)
MHW,Ministry of Health and Welfare (Japan's equivalent to the FDA)
MI,myocardial infarction
MIC,minimum inhibitory concentration
MID,manufacturer identifier (CBP)
MIP,Management Improvement Plan
MIRA,Medicare Innovation Responsiveness Act of 2003
MIS,Management Information System
MIS (OC),Management Initiatives Staff (OC)
MIWG,Mentoring Implementation Working Group
MJ,major amendment
ML,manufacturer's license (UK pharmaceuticals)
MLD,minimum lethal dose
MMA,"Medicare Prescription Drug, Improvement and Modernization Act of 2003"
MMAB (CFSAN),Microbiological Methods Application Branch (CFSAN)
MMDB (CFSAN),Microbial Methods Development Branch (CFSAN)
MMR,"measles, mumps and rubella"
MMRB (CFSAN),Microbiological Methods Research Branch (CFSAN)
MMSB (CFSAN),Molecular Methods and Subtyping Branch (CFSAN)
MMWR,Morbidity and Mortality Weekly Report - published by the CDC.
MNVP,medically necessary veterinary product
MOA,memorandum of agreement
MOA,mode of action
MOC,Management and Operations Council (FDA)
MOC,Memorandum of Conference
MOD,miscellaneous obligation document
MOD 1,Module One (laboratory facility - CFSAN)
MOD 2,Module Two (laboratory facility - CVM)
MON,memorandum of need
MOU,memorandum of understanding
MPA,Medical Products Agency (Sweden)
MPA,multiple projects (human subjects) assurance
MPAB (OC),Management Programs and Analysis Branch (OC)
MPC,Medical Policy Council
MPCC,Medical Policy Coordinating Committee
MPEG,Moving Pictures Experts Group
MPN,Metro Park North
MPQA,medical products quality assurance
MPR,moisture protein ratio
MPRIS,Mammography Program Reporting and Information Systems
MQC,mammography quality control
MQSA,Mammography Quality Standards Act of 1992
MRA,magnetic resonance angiography
MRA,medical research associate
MRA,mutual recognition agreement
MRB,Material Review Board (American National Red Cross)
MRB (CFSAN),Methods Research Branch (CFSAN)
MRC,Managed Review Committee
MRC,Medical Reserve Corps (U.S. Public Health Service)
MRD,multiple rising dose
MRE,"meal, ready-to-eat"
MRFG,Mutual Recognition Facilitating Group
MRI,magnetic resonance imaging
MRL,maximum residue limit
MRP,manufacturing resource planning
MRRA (CFSAN),Microbial Research and Risk Assessment Staff (CFSAN)
MRS,magnetic resonance spectroscopy
MRTD,Maximum Recommended Therapeutic Dose
MRTP,Modified Risk Tobacco Products
MS,mass spectroscopy
MS,milestone
MSAB (CFSAN),Manufacturing and Storage Adulteration Branch (CFSAN)
MSB (NCTR),Mass Spectrometry Branch (NCTR)
MSDS,Material Safety Data Sheets
MSI,magnetic source imaging
MSQA,Mammography Quality Standards Act of 1992
MSS (CVM),Management Support Staff (CDRH)
MSSO,Maintenance and Support Services Organization
MT (CFSAN),Medical Team (CFSAN)
MTA,mail transport agent
MTA,material transfer agreement
MTBF,mean time between failures
MTCT,Mother-to-child transmission
MTD,maximum tolerated dose
MTOS (CFSAN),Muirkirk Technical Operations Staff (CFSAN)
MUMS,minor use minor species
MUMS (CVM),Office of Minor Use and Minor Species (CVM)
MUMS Act,Minor Use and Minor Species Animal Health Act of 2004
MVB (CFSAN),Molecular Virology Branch (CFSAN)
MVT (CFSAN),Molecular Virology Team (CFSAN)
MW+,MedWatch Plus
MWG,Milk Working Group
n.b.,nota bene (note well)
N/A,not applicable
NA,not approvable
NAA,National Aquaculture Association
NABR,National Association for Biomedical Research
NACCHO,National Association of County and City Health Officials
NACDS,National Association of Chain Drug Stores
NACHO,National Association of County Health Officials
NACMCF,National Advisory Committee on Microbiological Criteria for Foods
NAD,ned animal drug number (ORA AofC code)
NADA,new animal drug application
NADE,New Animal Drug Evaluation
NAET (CFSAN),Nutrition Assessment and Evaluation Team (CFSAN)
NAF,notice of adverse findings
NAFTA,North American Free Trade Agreement
NAGC,National Association of Government Communicators
NAHC,National Advisory Health Council
NAHMS,National Animal Health Monitoring System
NAI,no action indicated
NAION,non-arteritic anterior ischemic optic neuropathy
NAL,National Agricultural Library
NALBOH,National Association of Local Boards of Health
NAM,National Agency for Medicines (Finland)
NARA,National Archives and Records Administration (U.S.)
NARB,National Advertising Review Board (FTC)
NARMS,National Antimicrobial Resistance Monitoring System (CDC)
NAS,National Academy of Sciences (U.S.)
NAS,new active substance
NASA,National Aeronautics and Space Administration (U.S.)
NASAR,National Association of Search and Rescue
NASDA,National Association of State Departments of Agriculture
NASS,National Agricultural Statistics Survey
NAT,nucleic acid-based tests
NBAC,National Bioethics Advisory Commission
NBCS,National Biomedical Computer System  (American National Red Cross)
NBDRC,National Blood Data Resource Center
NBII,National Biological Information Infrastructure
NBS,National Bureau of Standards (now NIST)
NC,"non-clinical (phase, studies)"
NCAB,National Cancer Advisory Board
NCBA,National Cattlemen's Beef Association
NCBDDD,National Center on Birth Defects and Developmental Disabilities (CDC)
NCBI,National Center for Biotechnology Information (NCI)
NCC,National Chicken Council
NCC,National Coordinating Committee
NCC MERP,National Coordinating Council for Medication Error Reporting and Prevention
NCCAM,National Center for Complementary and Alternative Medicine (NIH)
NCCDPHP,National Center for Chronic Disease Prevention and Health Promotion (CDC)
NCCLS,National Committee for Clinical Laboratory Standards (now CLIS)
NCDCP,National Council on Prescription Drug Programs
NCE,new chemical entity
NCEH,National Center for Environmental Health (CDC)
NCFST,National Center for Food Safety and Technology
NCHGR,National Center for Human Genome Research (NIH)
NCHM,National Center for Health Marketing (CDC)
NCHS,National Center for Health Statistics (CDC)
NCHSTP,"National Center for HIV, STD, and TB Prevention (CDC)"
NCI,National Cancer Institute (NIH)
NCID,National Center for Infectious Diseases (CDC)
NCIE,National Center for Import and Export (USDA)
NCIE,Notice of Claimed Investigational Exemption (CVM)
NCIMS,National Conference on Interstate Milk Shipments
NCIPC,National Center for Injury Prevention and Control (CDC)
NCL,National Consumers League
NCMHD,National Center on Minority Health and Health Disparities (NIH)
NCNR,National Center for Nursing Research (NIH)
NCP,nonconforming product
NCPDP,National Council for Prescription Drug Programs
NCPHI,National Center for Public Health Informatics (CDC)
NCPIE,National  Council on Patient Information and Education
NCR,Non-Conformance Report
NCRP,National Council on Radiation Protection and Measurements
NCRR,National Center for Research Resources (NIH)
NCS,National Communications System
NCS,not clinically significant
NCT,National Clinical Trial
NCTR,National Center for Toxicological Research (FDA)
NCVHS,National Committee on Vital and Health Statistics (DHHS)
NCVIA,National Childhood Vaccine Injury Act of 1986
NCWM,National Conference on Weights and Measures
NDA,new drug application
NDA,new drug application number (ORA AofC code)
NDAB,National Drugs Advisory Board (Ireland)
NDAC,Nonprescription Drug Advisory Committee
NDC,National Drug Code (FDA)
NDE,new drug evaluation
NDE/MIS,New Drug Evaluation Management Information System
NDF-RT,National Drug File Reference Terminology (VA)
NDIRS (CFSAN),New Dietary Ingredients Review Staff (CFSAN)
NDMA,Nonprescription Drug Manufacturers Association (now CHPA)
NDMS,National Disaster Medical System
NDMS (CDER),New Drug Microbiology Staff (CDER)
NDRMMP,National Drug Residue Milk Monitoring Program
NDS,new drug study
NDS,New Drug Submission (Canada)
NDTI,National Disease and Therapeutic Index
NE-FO (ORA),"Regional Field Office, Northeast Region"
NEC,not elsewhere classified
NEDSS,National Electronic Disease Surveillance System (CDC)
NEEP,National Exercise and Evaluation Program
NEFARMA,Dutch Association of the Innovative Pharmaceutical Industry
NEFLE,National Exchange for Food Labeling Education
NEHA,National Environmental Health Association
NEI,National Eye Institute (NIH)
NEMA,National Electrical Manufacturers Association
NEMA,National Emergency Management Association
NEP,National Exercise Program (Department of Homeland Security)
NEPA,National Environmental Policy Act
NetBEUI,NetBIOS extended user interface
NEXT,Nationwide Evaluation of X-ray Trends (CDRH)
NF,National Formulary
NFPA,National Food Processor Association
NFSS,National Food Safety System
NFT,notification of foreign travel
NGA,National Geospatial-Intelligence Agency
NGB,National Guard Bureal
NGFA,National Grain and Feed Association
NGO,non-governmental organization
NGS, Next-generation Sequencing
NHANES,National Health and Nutrition Examination Survey (NCHS)
NHC,National Hurricane Center
NHF,National Hemophilia Foundation
NHGRI,National Human Genome Research Institute (NIH)
NHIC,National Health Information Center (DHHS)
NHIN,Nationwide Health Information Network
NHIS,National Institute of Hygienic Sciences (Japan)
NHLBI,"National Heart, Lung, and Blood Institute (NIH)"
NHP,Non-human Primate
NHRIC,national health related items code (CDRH)
NHW,National Health and Welfare Department (Canada's equivalent of DHHS)
NIA,National Institute on Aging (NIH)
NIAAA,National Institute on Alcohol Abuse and Alcoholism (NIH)
NIAID,National Institute of Allergy and Infectious Disease (NIH)
NIAMS,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH)
NIBIB,National Institute of Biomedical Imaging and Bioengineering (NIH)
NICCL,National Incident Communications Conference Line
NICE,National Institute for Health and Clinical Excellence (UK)
NICHD,National Institute of Child Health and Human Development (NIH)
NIDA,National Institute on Drug Abuse (NIH)
NIDCD,National Institute on Deafness and Other Communication Disorders (NIH)
NIDCR,National Institute of Dental and Craniofacial Research (NIH)
NIDDK,National Institute of Diabetes and Digestive and Kidney Diseases (NIH)
NIDPOE,Notice of Initiation of Disqualification Proceeding and Opportunity to Explain
NIDR,National Institute of Dental Research (see NIDCR)
NIDRR,National Institute on Disability and Rehabilitation Research (U.S. Department of Education)
NIEHS,National Institute of Environmental Health Sciences (NIH)
NIFC,National Interagency Fire Center
NIGMS,National Institute of General Medical Sciences (NIH)
NIH,National Institutes of Health (DHHS)
NIM,no inspection made
NIMH,National Institute of Mental Health (NIH)
NIMS,National Incident Management System (FEMA)
NINDS,National Institute of Neurological Disorders and Stroke (NIH)
NINR,National Institute of Nursing Research (NIH)
NIOSH,National Institute for Occupational Safety and Health (CDC)
NIP,National Immunization Program (CDC)
NIPP,National Infrastructure Protection Plan
NIS,National Inpatient Sample
NISAC,National Infrastructure Simulation and Analysis Center (Department of Homeland Security)
NIST,National Institute of Standards and Technology (U.S. Department of Commerce)
NKCA,natural killer cell cytotoxic activity
NLEA,Nutrition Labeling and Education Act of 1990
NLM,National Library of Medicine (NIH)
NLN,Nordic Council on Medicines
NLRC,Nicholson Lane Research Center
NLT,not less than
NMA,National Medical Association
NMDP,National Marrow Donor Program
NME,new molecular entity
NMFS,National Marine Fisheries Service
NMI,non-medicinal ingredient
NMPF,National Milk Producers Federation
NMQAAC,National Mammography Quality Assurance Advisory Committee
NMR,nuclear magnetic resonance spectroscopy
NMT,not more than
NNC,National Notification Center
NNMC,National Naval Medical Center
NNRTI,non-nucleoside reverse transcriptase inhibitor
NOA,Notice of Availability
NOAA,National Oceanographic and Atmospheric Administration (U.S.)
NOAEL,no observable adverse effect level
NOC,National Operations Center
NOC,Notice of Compliance (Canada)
NOD,Notice of Deficiency (Canada)
NOEL,no observed effect level
NOH,notice of hearing
NOMI,Federation of Norwegian Pharmaceutical Manufacturers
NON,notice of non-compliance (Canada)
NONS,Notification of New Substance Regulations 193 (EC)
NOOH,notice offering an opportunity for a hearing
NOP,National Organic Program
NOS,network operating system
NOSB,National Organic Standards Board
NOV,notice of violation letter
NPA,National Pharmaceutical Association (UK)
NPA,National Prescription Audit
NPCC,National Poison Control Center
NPCR,National Program of Cancer Registries
NPG,National Preparedness Goal
NPI,national provided identifier (CMS)
NPPC,National Pork Producers Council
NPR,National Performance Review
NPRM,notice of proposed rulemaking
NPS,National Park Service (Department of the Interior)
NPS,National Pharmaceutical Stockpile(CDC)
NPS (CFSAN),Nutrition Programs Staff (CFSAN)
NPSB (CFSAN),Nutritional Product Studies Branch (CFSAN)
NR,non-compliance record
NR,response to not approvable letter
NRB,Noninstitutional Review Board
NRC,National Research Council
NRC,Nuclear Regulatory Commission (U.S.)
NRCC,National Response Coordination Center
NREVSS,National Respiratory and Enteric Virus Surveillance System
NRP,National Response Plan (Department of Homeland Security)
NRP-CIS,National Response Plan Catastrophic Incident Supplement
NRSP,National Research Support Project
NRTE,not ready-to-eat
NS,Not significant
NS/EP,National Security and Emergency Preparedness
NSA,National Security Agency (U.S.)
NSAID,Non-Steroidal Anti-Inflammatory Drug
NSAPB,National Surgical Adjuvant Breast and Bowel Project
NSAPE,North American Society for Pacing and Electrophysiology
NSC,National Security Council
NSE,not substantially equivalent
NSF,National Science Foundation (U.S.)
NSIP,National Seafood Inspection Program
NSN,national stock number
NSR,nonsignificant risk
NSRT (CFSAN),Nutrition Science Review Team (CFSAN)
NSV-DO (ORA),Nashville (Tennessee) District Office (ORA)
NSWL,Naval Surface Weapons Laboratory (now FDA White Oak campus)
NTA,notice to applicants (EC)
NTB (CFSAN),Neurotoxicology Branch (CFSAN)
NTEU,National Treasury Employees Union
NTF,National Turkey Federation
NTG,nitroglycerin
NTI,narrow therapeutic index
NTIA,National Telecommunications and Information Administration (U.S.)
NTIS,National Technical Information Service
NTL,National Testing Laboratory (American National Red Cross)
NTP,National Toxicology Program (U.S.)
NUCC,National Uniform Claim Committee (AMA and HCFA)
NVC,National Vaccine Commission
nvCJD,new variant Creutzfeldt-Jakob Disease
NVICP,National Vaccine Injury Compensation Program
NVLAP,National Voluntary Laboratory Accreditation Program  (NIST)
NVOAD,National Volunteer Organizations Active in Disaster
NVP,National Vaccine Program
NVPO,National Vaccine Program Office (DHHS)
NVSS,National Vital Statistics System
NVTB (CFSAN),Neurotoxicological and In Vitro Toxicology Branch (CFSAN)
NWK-DO (ORA),Newark District Office (ORA)
NWR,NOAA Weather Radio
NWS,National Weather Service
OA,Office of Administration (Office of the Commissioner)
OA,osteoarthritis
OAGS (OC),Officeof Acquisitions and Grants Services (OC)
OAI,official action indicated
OAP (CDER),Office of Antimicrobial Products (CDER)
OARSA (CFSAN),Office of Applied Research and Safety Assessment (CFSAN)
OASDI,"Old Age, Survivors, and Disability Insurance"
OASH,Office of the Assistant Secretary for Health (DHHS)
OASIS,Operational and Administrative System for Import Support (CFSAN)
OB (CDER),Office of Biostatistics (CDER)
OB-GYN,obstetrics-gynecology
OBA,Office of Biotechnology Activities (NIH)
OBE,online booking engine
OBE (CBER),Office of Biostatistics and Epidemiology (CBER)
OBES (OC),Office of Business Enterprise Solutions (OC)
OBFP (OC),Office of Budget Formulation and Presentation (OC)
OBI (CDER),Office of Business Informatics (CDER)
OBP (CDER),Office of Biotechnology Products (CDER)
OBPS (CDER),Office of Business Process Support (CDER)
OBRR (CBER),Office of Blood Research and Review (CBER)
OC,Immediate Office of the Commissioner (OC)
OC,Office of Compliance
OC,Office of the Commissioner (FDA)
OC (CDER),Office of Compliance (CDER)
OC (CDRH),Office of Compliance (CDRH)
OC (CFSAN),Office of Compliance (CFSAN)
OCAC (CFSAN),Office of Cosmetics and Colors (CFSAN)
OCBQ (CBER),Office of Compliance and Biologics Quality (CBER)
OCC,object class code
OCC (OC),Office of the Chief Counsel (OC)
OCD (CDRH),Office of the Center Director (CDRH)
OCD (CFSAN),Office of the Center Director (CFSAN)
OCD (CVM),Office of the Center Director (CVM)
OCER (CDRH),"Office of Communication, Education and Radiological Programs (CDRH)"
OCET (OC),Office of Counterterrorism and Emerging Threats (OC)
OCI (ORA),Office of Criminal Investigations (ORA)
OCIO (OC),Office of the Chief Information Officer (OC)
OCM (OC),Office of Crisis Management (OC)
OCO (CFSAN),Office of Constituent Operations (CFSAN)
OCOD,Office of Communication Outreach and Development (CBER)
OCOMM (CDER),Office of Communications (CDER)
OCP (CDER),Office of Clinical Pharmacology (CDER)
OCP (OC),Office of Combination Products (OC)
OCPP,Office of Critical Path Programs
OCR,Office for Civil Rights (DHHS)
OCS,Office of the Chief  Scientist (OC)
OCTC (OC),Office of the Counselor to the Commissioner (OC)
OCTEC (CDER),Office of Counter-terrorism and Emergency Coordination (CDER)
OCTGT (CBER),"Office of Cellular, Tissue and Gene Therapies (CBER)"
OCTMA (CBER),"Office of Communication, Training and Manufacturers Assistance (CBER)"
OD,Office of the Director
OD,once daily
OD (CBER),Office of the Director (CBER)
OD (CDER),Office of the Center Director (CDER)
OD (NCTR),Office of the Director (NCTR)
ODA,Orphan Drug Act of 1983
ODAC,Oncologic Drugs Advisory Committee
ODE,Office of Drug Evaluation (CDER)
ODE (CDRH),Office of Device Evaluation (CDRH)
ODE I,Office of Drug Evaluation I (CDER)
ODE II,Office of Drug Evaluation II (CDER)
ODE III,Office of Drug Evaluation III (CDER)
ODE IV (CDER),Office of Drug Evaluation IV (CDER)
ODM,operational data model (CDISC)
ODSIR (CDER),"Office of Drug Security, Integrity, and Recalls (CDER)"
OE (ORA),Office of Enforcement (ORA)
OEA (OC),Office of External Affairs (OC)
OECD,Organisation for Economic Co-operation and Development
OEEODEM (OC),Office of EEO and Diversity Management (OC)
OEI,Official Establishment Inventory
OEIO (ORA),Office of Enforcement and Import Operations (ORA)
OEL,occupational exposure level
OEM,original equipment manufacturer
OEO (OC),Office of Executive Operations (OC)
OEP,Office of Emergency Preparedness (PHS)
OEP (CDER),Office of Executive Programs (CDER)
OER (OC),Office of External Relations (OC)
OES (OC),Office of Executive Secretariat (OC)
OEXA,Office of External Affairs (OC)
OFACS,"Office of Facilities, Acquisitions, and Central Services (FDA)"
OFAS (CFSAN),Office of Food Additive Safety (CFSAN)
OFDA,Office of Foreign Disaster Assistance
OFDCER (CFSAN),"Office of Food Defense, Communication and Emergency Response (CFSAN)"
OFFAS (OC),Office of Field Financial and Acquisitions Services (OC)
OFM (OC),Office of Financial Management (OC)
OFPA,Organic Foods Production Act of 1990
OFS (CFSAN),Office of Food Safety (CFSAN)
OFS (OC),Office of Financial Services (OC)
OFSDO (CFSAN),"Office of Food Safety, Defense and Outreach (CFSAN)"
OGC,Office of the General Counsel (DHHS)
OGD (CDER),Office of Generic Drugs (CDER)
OGE,Office of Government Ethics (U.S.)
OGROP (OC),Office of Global Regulatory Operations and Policy (OC)
OGUD (CDRH),Obstetrics and Gynecology Devices Branch (CDRH)
OHCA (OC),Office of Health and Constituent Affairs (OC) (formerly Office of Special Health Issues - OSHI)
OHRMS,Office of Human Resources and Management Services (FDA)
OIA (OC),Office of Internal Affairs (OC)
OIASI (OC),Office of International Activities and Strategic Initiatives (OC)
OIG,Office of Inspector General (DHHS)
OIM,Office of Information Management (OC)
OIP (OC),Office of International Programs (OC)
OIRA,Office of Information and Regulatory Affairs (OMB)
OIT (CBER),Office of Information Technology (CBER)
OIT (CDER),Office of Information Technology (CDER)
OIT (CDRH),Office of Information Technology (CDRH)
OIT (CFSAN),Office of Information Technology (CFSAN)
OIT (CVM),Office of Information Technology (CVM)
OIT (NCTR),Office of Information Technology (NCTR)
OIT (OC),Office of Information Technology (OC)
OIT (ORA),Office of Information Technology (ORA)
OITSS (OC),Office of Information Technology Shared Services (OC)
OIVD (CDRH),Office of In Vitro Diagnostic Device Evaluation and Safety (CDRH)
